대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
아프리카주,카메룬,남성,0,2,0,7,0,18,0,0,168,0,12,0,0,0,0,0,51,0,0,4,0,0,1,7,0,0,0,5,16,32,0,6,13,100,0,0,0,120
아프리카주,카메룬,여성,0,0,0,1,0,8,0,0,76,0,3,0,0,0,0,0,16,0,0,2,0,0,2,0,0,0,0,8,13,60,0,1,4,49,0,0,0,73
아프리카주,리비아,남성,45,2,0,0,0,149,0,0,10,0,2,0,1,0,188,12,2,1,0,0,0,0,1,0,0,0,0,3,11,106,0,5,3,87,0,0,0,12
아프리카주,리비아,여성,38,2,0,0,0,11,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,5,7,139,0,4,0,1,0,0,0,1
아프리카주,우간다,남성,0,1,0,1,0,18,1,0,113,0,24,0,1,0,0,0,16,1,0,6,0,0,0,2,0,0,0,0,16,6,1,0,20,129,0,0,0,38
아프리카주,우간다,여성,0,0,0,0,0,28,0,0,57,0,10,0,0,0,0,0,15,0,0,2,0,0,0,1,0,0,0,4,12,10,0,0,1,44,0,0,0,33
아프리카주,케냐,남성,15,10,0,1,0,36,2,0,102,0,17,0,4,0,1,0,14,1,0,5,0,0,0,11,0,0,0,3,7,26,1,2,8,37,0,0,0,9
아프리카주,케냐,여성,22,9,0,0,0,19,0,0,56,0,14,0,0,0,1,1,7,0,0,1,0,0,3,6,0,0,0,9,4,18,0,0,6,24,0,0,0,19
아프리카주,라이베리아,남성,2,10,21,3,0,5,0,0,15,0,5,0,1,0,2,0,3,0,0,1,0,0,0,2,0,0,0,0,4,3,0,1,4,184,0,0,0,114
아프리카주,라이베리아,여성,1,0,5,0,0,6,0,0,8,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,78,0,0,0,38
